Metadata/Items/Currency/CurrencyWeaponQuality	Blacksmith's Whetstone	1	1
Metadata/Items/Currency/CurrencyMagicQuality	Arcanist's Etcher	1	1
Metadata/Items/Currency/CurrencyIdentification	Scroll of Wisdom	1	1
Metadata/Items/Currency/CurrencyRerollRare	Chaos Orb	1	1
Metadata/Items/Currency/CurrencyRerollRare2	Greater Chaos Orb	1	1
Metadata/Items/Currency/CurrencyRerollRare3	Perfect Chaos Orb	1	1
Metadata/Items/Currency/CurrencyArmourQuality	Armourer's Scrap	1	1
Metadata/Items/Currency/CurrencyDuplicate	Mirror of Kalandra	1	1
Metadata/Items/Currency/CurrencyHinekorasLock	Hinekora's Lock	1	1
Metadata/Items/Currency/CurrencyUpgradeToRare	Orb of Alchemy	1	1
Metadata/Items/Currency/CurrencyUpgradeRandomly	Orb of Chance	1	1
Metadata/Items/Currency/CurrencyPassiveRefund	Orb of Regret	1	1
Metadata/Items/Currency/CurrencyAtlasPassiveRefund	Orb of Unmaking	1	1
Metadata/Items/Currency/CurrencyUpgradeToMagic	Orb of Transmutation	1	1
Metadata/Items/Currency/CurrencyUpgradeToMagic2	Greater Orb of Transmutation	1	1
Metadata/Items/Currency/CurrencyUpgradeToMagic3	Perfect Orb of Transmutation	1	1
Metadata/Items/Currency/CurrencyRerollMagic	Orb of Alteration	1	1
Metadata/Items/Currency/CurrencyConvertToNormal	Orb of Scouring	1	1
Metadata/Items/Currency/CurrencyAddModToRare	Exalted Orb	1	1
Metadata/Items/Currency/CurrencyAddModToRare2	Greater Exalted Orb	1	1
Metadata/Items/Currency/CurrencyAddModToRare3	Perfect Exalted Orb	1	1
Metadata/Items/Currency/CurrencyUpgradeMagicToRare	Regal Orb	1	1
Metadata/Items/Currency/CurrencyUpgradeMagicToRare2	Greater Regal Orb	1	1
Metadata/Items/Currency/CurrencyUpgradeMagicToRare3	Perfect Regal Orb	1	1
Metadata/Items/Currency/CurrencyAddModToMagic	Orb of Augmentation	1	1
Metadata/Items/Currency/CurrencyAddModToMagic2	Greater Orb of Augmentation	1	1
Metadata/Items/Currency/CurrencyAddModToMagic3	Perfect Orb of Augmentation	1	1
Metadata/Items/Currency/CurrencyPortal	Portal Scroll	1	1
Metadata/Items/Currency/CurrencyFlaskQuality	Glassblower's Bauble	1	1
Metadata/Items/Currency/CurrencyGemQuality	Gemcutter's Prism	1	1
Metadata/Items/Currency/CurrencyRerollSocketColours	Chromatic Orb	1	1
Metadata/Items/Currency/CurrencyRerollSocketLinks	Orb of Fusing	1	1
Metadata/Items/Currency/CurrencyAddSkillGemSocket3	Lesser Jeweller's Orb	1	1
Metadata/Items/Currency/CurrencyAddSkillGemSocket4	Greater Jeweller's Orb	1	1
Metadata/Items/Currency/CurrencyAddSkillGemSocket5	Perfect Jeweller's Orb	1	1
Metadata/Items/Currency/CurrencyAddEquipmentSocket	Artificer's Orb	1	1
Metadata/Items/Currency/CurrencyModValues	Divine Orb	1	1
Metadata/Items/Currency/CurrencyRerollImplicit	Blessed Orb	1	1
Metadata/Items/Currency/CurrencyRerollDefences	Sacred Orb	1	1
Metadata/Items/Currency/CurrencyMapQuality	Cartographer's Chisel	1	1
Metadata/Items/Currency/CurrencyIdentificationShard	Scroll Fragment	1	1
Metadata/Items/Currency/CurrencyUpgradeToMagicShard	Transmutation Shard	1	1
Metadata/Items/Currency/CurrencyRerollMagicShard	Alteration Shard	1	1
Metadata/Items/Currency/CurrencyUpgradeToRareShard	Alchemy Shard	1	1
Metadata/Items/Currency/CurrencyUpgradeRandomlyShard	Chance Shard	1	1
Metadata/Items/Currency/CurrencyRhoaFeather	Albino Rhoa Feather	1	1
Metadata/Items/Currency/CurrencyVultureFeather	Golden Vulture Feather	1	1
Metadata/Items/Currency/CurrencyToucanFeather	Rainbow Toucan Feather	1	1
