# inventory_type_map.tsv - auto-generated by extract_inventories_dat.py
# schema: 7 / 1780178352
# source: Data/Balance/Inventories.datc64 in Folders/data/49/balance.datc64
# generated: 2026-06-08T10:41:29Z
# NOTE: game inventory index is 1-based (starts at 0x01);
#       dat_row is 0-based (starts at 0x00).  game_index = dat_row + 1.
# columns: game_index(decimal)	dat_row(decimal)	type(Id)	inventory_id_key
1	0	MainInventory1	0
2	1	BodyArmour1	1
3	2	Weapon1	2
4	3	Offhand1	3
5	4	Helm1	4
6	5	Amulet1	5
7	6	Ring1	6
8	7	Ring2	6
9	8	Gloves1	7
10	9	Boots1	8
11	10	Belt1	9
12	11	Flask1	10
13	12	Cursor1	11
14	13	Map1	12
15	14	Weapon2	2
16	15	Offhand2	3
17	16	Expedition2Crafting	15
18	17	StrDexMasterCrafting	15
19	18	DexMasterCrafting	15
20	19	DexIntMasterCrafting	15
21	20	IntMasterCrafting	15
22	21	VerisiumCraftingInput	15
23	22	VerisiumCraftingOutput	15
24	23	PassiveJewels1	13
25	24	AnimatedArmour1	14
26	25	GuildTag1	12
27	26	StashInventoryId	17
28	27	DivinationCardTrade	15
29	28	Darkshrine	15
30	29	TalismanTrade	15
31	30	Leaguestone1	16
32	31	BestiaryCrafting	15
33	32	IncursionSacrifice	15
34	33	Unveiling1	15
35	34	ItemSynthesisInput	15
36	35	ItemSynthesisOutput	15
37	36	BlightCraftingInput	15
38	37	BlightCraftingItem	15
39	38	DONOTUSE5	15
40	39	AtlasUpgrades1	28
41	40	AtlasUpgradesStorage	28
42	41	ExpeditionMapMission	15
43	42	ExpeditionDeal1	15
44	43	HarvestCraftingItem	15
45	44	HeistContractMission	15
46	45	HeistNpcEquipment1	34
47	46	HeistNpcEquipment2	34
48	47	HeistNpcEquipment3	34
49	48	HeistNpcEquipment4	34
50	49	HeistNpcEquipment5	34
51	50	HeistNpcEquipment6	34
52	51	HeistNpcEquipment7	34
53	52	HeistNpcEquipment8	34
54	53	HeistNpcEquipment9	34
55	54	Trinket1	35
56	55	HeistBlueprintMission	15
57	56	HeistStorage1	36
58	57	RitualSavedRewards1	37
59	58	DONOTUSE1	12
60	59	DONOTUSE2	12
61	60	DONOTUSE3	12
62	61	DONOTUSE4	12
63	62	SkillSlots1	41
64	63	Currency1	42
65	64	MapCurrency1	43
66	65	MobileMapInventory1	12
67	66	UltimatumCraftingItem	44
68	67	DelveCraftingItem	15
69	68	MobileHeldMapsInventory1	12
70	69	DONOTUSE7	29
71	70	HellscapeModificationInventory1	45
72	71	DONOTUSE6	15
73	72	SentinelDroneInventory1	48
74	73	SentinelStorage1	49
75	74	LakeTabletInventory1	50
76	75	MemoryLineMaps	12
77	76	Relics1	52
78	77	RelicStorage1	53
79	78	SanctumSpecialRelic1	54
80	79	Weapon3	2
81	80	Offhand3	3
82	81	MobileSkillGemCrafting1	15
83	82	CurrentSanctumRun1	55
84	83	MercenaryCompanionBodyArmour1	1
85	84	MercenaryCompanionHelm1	4
86	85	MercenaryCompanionGloves1	7
87	86	MercenaryCompanionBoots1	8
88	87	MercenaryCompanionWeapon1	2
89	88	MercenaryCompanionOffhand1	3
90	89	ThreeToOneOutput	15
91	90	UNUSED1	17
92	91	ThreeToOneInput	15
93	92	UNUSED2	17
94	93	UltimatumKey1	56
95	94	DefaultAttackSkills1	57
96	95	AscendancySkills1	57
97	96	Tower1	58
98	97	ExpandedInventory1	0
99	98	ExpeditionDeal2	15
100	99	ExpeditionDeal3	15
101	100	UltimatumKeySacrifice1	59
102	101	Ring3	6
103	102	RecombinatorInput	15
104	103	RecombinatorOutput	15
105	104	EndgameSplinters1	63
106	105	Chakra1	65
107	106	CraftPredictionScratch	15
108	107	IncursionLegLeft	66
109	108	IncursionLegRight	66
110	109	IncursionArmLeft	67
111	110	IncursionArmRight	67
112	111	IncursionRewardBench1	68
113	112	BrequelExchange	15
114	113	LoreweaveExchange	15
115	114	UNUSED3	17
116	115	LoreweaveExchangeOutput	15
117	116	RiteOfTheNameless1	70
118	117	BereksTamingExchangeInput	15
119	118	BereksTamingExchangeOutput	15
