# map_mod_list.tsv - auto-generated by ggpk-tools/PoeDataExtract
# source: data/balance/mods.datc64 filtered by Domain == 5 (AREA)
# columns: mod_id	affix_name	gen_type	mod_family	level	stat_ids	stat_values	tooltip
# generated: 2026-06-09T22:11:55Z
StrongboxChestIncreasedRarityImplicit1		3	IncreasedLife	1	chest_hidden_item_rarity_+%	700	
StrongboxChestIncreasedRarityImplicit2		3	IncreasedLife	1	chest_hidden_item_rarity_+%	1000	
StrongboxChestIncreasedRarityImplicitResearchers		3	IncreasedLife	1	chest_hidden_item_rarity_+%	6000	
StrongboxChestIncreasedQuantityImplicit		3	IncreasedLife	1	chest_hidden_item_quantity_+%,chest_drop_additional_magic_items_up_to,chest_drop_additional_normal_items_up_to,chest_drop_additional_rare_items_up_to	300,0,0,0	Contains 0 additional Magic Item · Contains 0 additional Item
StrongboxRareItemDropProtectionImplicit		3	IncreasedLife	1	chest_drop_additional_rare_items_up_to	1	
StrongboxChestItemQuantity1	of Bounty	2	IncreasedLife	1	chest_item_quantity_+%_final_from_mod	25..50	(25-50)% more Quantity of Contained Items
StrongboxChestItemRarity1	of Treasures	2	IncreasedLife	1	chest_item_rarity_+%_final_from_mod	50..100	(50-100)% more Rarity of Contained Items
StrongboxChestDropUnique1	of Singularity	2	IncreasedLife	1	chest_drop_additional_unqiue_items	1	Contains an additional Unique Item
StrongboxChestItemLevel1	of Ascendance	2	IncreasedLife	1	chest_dropped_item_level_+	1	+1 Chest level
StrongboxChestDropsIdentified1	of Wisdom	2	IncreasedLife	1	chest_items_drop_identified	1	Contains Identified Items
StrongboxChestItemQuality1	of Quality	2	IncreasedLife	1	chest_dropped_equipment_flasks_charms_have_quality_%	5..15	Contained Items have (5-15)% Quality
StrongboxChestItemSockets1	of Complexity	2	IncreasedLife	1	dropped_items_have_additional_sockets	1	Contained Items have an additional Socket
StrongboxChestAdditionalExceptionalItems1	of the Exceptional	2	IncreasedLife	75	drop_additional_exceptional_items	1	Contains an additional Exceptional Item
StrongboxChestAdditionalExceptionalMartialWeapons1	of the Exceptional Warrior	2	IncreasedLife	75	drop_additional_exceptional_martial_weapons	1	Contains an additional Exceptional Martial Weapon
StrongboxChestAdditionalExceptionalCasterWeapons1	of the Exceptional Mage	2	IncreasedLife	75	drop_additional_exceptional_caster_weapons	1	Contains an additional Exceptional Caster Weapon
StrongboxChestAdditionalExceptionalArmours1	of the Exceptional Armourer	2	IncreasedLife	75	drop_additional_exceptional_armours	1	Contains an additional Exceptional Armour Item
StrongboxChestRarityAndMonsterRarity1	of Monstrous Treasures	2	IncreasedLife	1	chest_item_rarity_+%_final_from_mod,strongbox_monster_from_league_item_rarity_+%_permyriad	40..60,4000..6000	(40-60)% more Rarity of Contained Items · (4000-6000)% increased Rarity of Items Dropped from Strongbox Monsters
StrongboxChestQuantityAndMonsterEffectiveness1	of Monstrous Bounty	2	IncreasedLife	1	chest_item_quantity_+%_final_from_mod,strongbox_monster_potency_+%	15..30,15..30	(15-30)% more Quantity of Contained Items · (15-30)% increased Effectiveness of Strongbox Monsters
StrongboxChestAdditionalRunes1	of Runic Power	2	IncreasedLife	5	drop_additional_runes	1..2	Contains (1-2) additional Rune
StrongboxChestAdditionalSanctumKey1	of the Barya	2	IncreasedLife	24	drop_additional_sanctum_key	1	Contains 1 additional Djinn Barya
StrongboxChestAdditionalUltimatumKey1	of the Trials	2	IncreasedLife	39	drop_additional_ultimatum_key	1	Contains 1 additional Inscribed Ultimatum
StrongboxChestAdditionalSpecialTowerAugment1	of Inscription	2	IncreasedLife	65	drop_additional_special_tower_augment	1	Contains 1 additional Unusual Tablet
StrongboxChestItemQuantity2	of Greater Bounty	2	IncreasedLife	1	chest_item_quantity_+%_final_from_mod	100..150	(100-150)% more Quantity of Contained Items
StrongboxChestItemRarity2	of Greater Treasures	2	IncreasedLife	1	chest_item_rarity_+%_final_from_mod	150..250	(150-250)% more Rarity of Contained Items
StrongboxChestDropUnique2	of Greater Singularity	2	IncreasedLife	1	chest_drop_additional_unqiue_items	3..5	Contains an additional Unique Item
StrongboxChestItemLevel2	of Greater Ascendance	2	IncreasedLife	1	chest_dropped_item_level_+	2	+2 Chest level
StrongboxChestDropsIdentified2	of Greater Wisdom	2	IncreasedLife	1	chest_items_drop_identified	1	Contains Identified Items
StrongboxChestItemQuality2	of Greater Quality	2	IncreasedLife	1	chest_dropped_equipment_flasks_charms_have_quality_%	15..20	Contained Items have (15-20)% Quality
StrongboxChestItemSockets2	of Greater Complexity	2	IncreasedLife	1	dropped_items_have_maximum_sockets	1	Contained Items have maximum Sockets
StrongboxChestAdditionalExceptionalItems2	of the Greater Exceptional	2	IncreasedLife	75	drop_additional_exceptional_items	2..3	Contains an additional Exceptional Item
