# mod_name_map.tsv - auto-generated by ggpk-tools/PoeDataExtract
# source: data/balance/mods.datc64 + ModFamily (2-way join via Mods.Families[0])
# columns: mod_id	affix_name	gen_type	tier_word
# generated: 2026-05-26T10:26:47Z
Strength1	of the Brute	2	IncreasedLife
Strength2	of the Wrestler	2	IncreasedLife
Strength3	of the Bear	2	IncreasedLife
Strength4	of the Lion	2	IncreasedLife
Strength5	of the Gorilla	2	IncreasedLife
Strength6	of the Goliath	2	IncreasedLife
Strength7	of the Leviathan	2	IncreasedLife
Strength8	of the Titan	2	IncreasedLife
Strength9	of the Gods	2	IncreasedLife
Dexterity1	of the Mongoose	2	IncreasedLife
Dexterity2	of the Lynx	2	IncreasedLife
Dexterity3	of the Fox	2	IncreasedLife
Dexterity4	of the Falcon	2	IncreasedLife
Dexterity5	of the Panther	2	IncreasedLife
Dexterity6	of the Leopard	2	IncreasedLife
Dexterity7	of the Jaguar	2	IncreasedLife
Dexterity8	of the Phantom	2	IncreasedLife
Dexterity9	of the Wind	2	IncreasedLife
Intelligence1	of the Pupil	2	IncreasedLife
Intelligence2	of the Student	2	IncreasedLife
Intelligence3	of the Prodigy	2	IncreasedLife
Intelligence4	of the Augur	2	IncreasedLife
Intelligence5	of the Philosopher	2	IncreasedLife
Intelligence6	of the Sage	2	IncreasedLife
Intelligence7	of the Savant	2	IncreasedLife
Intelligence8	of the Virtuoso	2	IncreasedLife
Intelligence9	of the Genius	2	IncreasedLife
AllAttributes1	of the Clouds	2	IncreasedLife
AllAttributes2	of the Sky	2	IncreasedLife
AllAttributes3	of the Meteor	2	IncreasedLife
AllAttributes4	of the Comet	2	IncreasedLife
AllAttributes5	of the Heavens	2	IncreasedLife
AllAttributes6	of the Galaxy	2	IncreasedLife
AllAttributes7	of the Universe	2	IncreasedLife
AllAttributes8	of the Multiverse	2	IncreasedLife
AllAttributes9_	of the Infinite	2	IncreasedLife
FireResist1	of the Whelpling	2	IncreasedLife
FireResist2	of the Salamander	2	IncreasedLife
FireResist3	of the Drake	2	IncreasedLife
FireResist4	of the Kiln	2	IncreasedLife
FireResist5	of the Furnace	2	IncreasedLife
FireResist6	of the Volcano	2	IncreasedLife
FireResist7	of Magma	2	IncreasedLife
FireResist8	of Tzteosh	2	IncreasedLife
ColdResist1	of the Seal	2	IncreasedLife
ColdResist2	of the Penguin	2	IncreasedLife
ColdResist3	of the Narwhal	2	IncreasedLife
ColdResist4	of the Yeti	2	IncreasedLife
ColdResist5	of the Walrus	2	IncreasedLife
ColdResist6	of the Polar Bear	2	IncreasedLife
ColdResist7	of the Ice	2	IncreasedLife
ColdResist8	of Haast	2	IncreasedLife
LightningResist1	of the Cloud	2	IncreasedLife
LightningResist2	of the Squall	2	IncreasedLife
LightningResist3	of the Storm	2	IncreasedLife
LightningResist4	of the Thunderhead	2	IncreasedLife
LightningResist5	of the Tempest	2	IncreasedLife
LightningResist6	of the Maelstrom	2	IncreasedLife
LightningResist7	of the Lightning	2	IncreasedLife
LightningResist8	of Ephij	2	IncreasedLife
AllResistances1	of the Crystal	2	IncreasedLife
AllResistances2	of the Prism	2	IncreasedLife
AllResistances3	of the Kaleidoscope	2	IncreasedLife
AllResistances4	of Variegation	2	IncreasedLife
AllResistances5	of the Rainbow	2	IncreasedLife
AllResistances6	of the Span	2	IncreasedLife
NearbyAlliesAllResistances1	of Adjustment	2	IncreasedLife
NearbyAlliesAllResistances2	of Acclimatisation	2	IncreasedLife
NearbyAlliesAllResistances3	of Adaptation	2	IncreasedLife
NearbyAlliesAllResistances4	of Evolution	2	IncreasedLife
NearbyAlliesAllResistances5	of Progression	2	IncreasedLife
NearbyAlliesAllResistances6	of Metamorphosis	2	IncreasedLife
ChaosResist1	of the Lost	2	IncreasedLife
ChaosResist2	of Banishment	2	IncreasedLife
ChaosResist3	of Eviction	2	IncreasedLife
ChaosResist4	of Expulsion	2	IncreasedLife
ChaosResist5	of Exile	2	IncreasedLife
