metadata_path	display_name
Any	[ANY MONSTER]
Metadata/Monsters/Monkeys/MonkeyJungle	Feral Primate
Metadata/Monsters/Monkeys/MonkeyJunglePale	Feral Primate
Metadata/Monsters/Monkeys/MonkeyJungleTamed	Feral Primate
Metadata/Monsters/Monkeys/MonkeyJungleTamedBossSpectator	Feral Primate
Metadata/Monsters/BloodChieftain/MonkeyChiefJungle	Alpha Primate
Metadata/Monsters/InsectMinion/InsectTest	Testling
Metadata/Monsters/Spiker/Spiker	Porcupine Goliath
Metadata/Monsters/Spiker/Spiker3_	Porcupine Goliath
Metadata/Monsters/Spiker/Spiker3SanctumTrial__	Porcupine Goliath
Metadata/Monsters/Totems/StrengthTotem	Totem
Metadata/Monsters/Totems/IntelligenceTotem	Totem
Metadata/Monsters/Totems/DexterityTotem	Totem
Metadata/Monsters/Totems/SnipeTotem	Totem
Metadata/Monsters/Totems/ForwardBallista	Totem
Metadata/Monsters/Totems/UpwardBallista	Totem
Metadata/Monsters/Totems/SlamTotem	Totem
Metadata/Monsters/Totems/SpellTotem	Totem
Metadata/Monsters/Totems/GrenadeTotem	Mortar Cannon
Metadata/Monsters/MudBurrower/BrambleBurrower	Bramble Burrower
Metadata/Monsters/MudBurrower/SpiresBurrower	Spire Burrower
Metadata/Monsters/MudBurrower/SpiresBurrowerSanctumTrial	Spire Burrower
Metadata/Monsters/StonebackRhoa/BrambleRhoa	Bramble Rhoa
Metadata/Monsters/RagingSpirit/RagingSpiritPlayerSummoned	Raging Spirit
Metadata/Monsters/Daemon/ChestDaemonBarrelExplodeBurningGround	Daemon
Metadata/Monsters/Double/DoubleMarauder	Double
Metadata/Monsters/Double/DoubleRanger	Double
Metadata/Monsters/Double/DoubleWitch	Double
Metadata/Monsters/Double/DoubleDuelist	Double
Metadata/Monsters/Double/DoubleTemplar	Double
Metadata/Monsters/Double/DoubleShadow	Double
Metadata/Monsters/Double/DoubleMarauderTwo	Double
Metadata/Monsters/Double/DoubleRangerTwo	Double
Metadata/Monsters/Double/DoubleWitchTwo_	Double
Metadata/Monsters/Double/DoubleDuelistTwo	Double
Metadata/Monsters/Double/DoubleTemplarTwo	Double
Metadata/Monsters/Double/DoubleShadowTwo	Double
Metadata/Monsters/Dummy/D1	-|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|-
Metadata/Monsters/Dummy/D10	-|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|-
Metadata/Monsters/Dummy/D100	-|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|-
Metadata/Monsters/Dummy/D	-|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|- -|-
Metadata/Monsters/Dummy/Placeholder1	Placeholder 1
Metadata/Monsters/Dummy/Placeholder2	Placeholder 2
Metadata/Monsters/Dummy/Placeholder3	Placeholder 3
Metadata/Monsters/Dummy/Placeholder4	Placeholder 4
Metadata/Monsters/Daemon/DoNothingDaemon	Boring
Metadata/Monsters/Clone/MarauderClone	Clone
Metadata/Monsters/Clone/RangerClone	Clone
Metadata/Monsters/Clone/WitchClone	Clone
Metadata/Monsters/Clone/DuelistClone	Clone
Metadata/Monsters/Clone/TemplarClone	Clone
Metadata/Monsters/Clone/ShadowClone	Clone
Metadata/Monsters/Clone/MarauderFourCloneImmobile	Clone
Metadata/Monsters/Clone/RangerFourCloneImmobile	Clone
Metadata/Monsters/Clone/WitchFourCloneImmobile_	Clone
Metadata/Monsters/Clone/DuelistFourCloneImmobile	Clone
Metadata/Monsters/Clone/TemplarFourCloneImmobile	Clone
Metadata/Monsters/Clone/ShadowFourCloneImmobile_	Clone
Metadata/Monsters/Mirage/MarauderFourMirage	Mirage
Metadata/Monsters/Mirage/RangerFourMirage	Mirage
Metadata/Monsters/Mirage/WitchFourMirage	Mirage
Metadata/Monsters/Mirage/DuelistFourMirage	Mirage
Metadata/Monsters/Mirage/TemplarFourMirage	Mirage
Metadata/Monsters/Mirage/ShadowFourMirage	Mirage
Metadata/Monsters/Mirage/MarauderReplicateClone	Clone
Metadata/Monsters/Mirage/RangerReplicateClone	Clone
Metadata/Monsters/Mirage/WitchReplicateClone	Clone
Metadata/Monsters/Mirage/DuelistReplicateClone	Clone
Metadata/Monsters/Mirage/TemplarReplicateClone	Clone
Metadata/Monsters/Mirage/ShadowReplicateClone	Clone
Metadata/Monsters/InvisibleFire/MDTitanBossLaserTarget	Invisible
Metadata/Monsters/InvisibleFire/MDVaalSunApparitionMinisun	Invisible
Metadata/Monsters/InvisibleFire/MDHighbornSpore	Invisible
Metadata/Monsters/InvisibleFire/MDVaalBossStatueLaserTarget	Invisible
Metadata/Monsters/InvisibleFire/MDVaalBossStatueLaserCrissCrossTarget	Invisible
Metadata/Monsters/InvisibleFire/MDVaalBossStatueBallLightning	Invisible
Metadata/Monsters/InvisibleFire/MDFallenGodFIreBeam	Invisible
Metadata/Monsters/InvisibleFire/MDFallenGodFireBeamSanctified	Invisible
Metadata/Monsters/InvisibleFire/MDPerennialKingObsidianStorm_	Invisible
Metadata/Monsters/InvisibleFire/MDPerennialKingTornado	Invisible
Metadata/Monsters/InvisibleFire/PerennialKingOrbitTornado	Invisible
Metadata/Monsters/InvisibleFire/MDGolemancerTornado	Invisible
Metadata/Monsters/InvisibleFire/MDGolemancerTornadoWhiteSand	Invisible
Metadata/Monsters/InvisibleFire/AzmerianViperTornado	Invisible
Metadata/Monsters/InvisibleFire/MDBaronWolfBloodBurst	Invisible
Metadata/Monsters/InvisibleFire/MDCarrionCroneWave	Invisible
Metadata/Monsters/InvisibleFire/MDGoldCrushLavaEdge	Invisible
Metadata/Monsters/InvisibleFire/MDGoldCrushLavaSunder	Invisible
Metadata/Monsters/InvisibleFire/MDVaseMonsterBugs	Invisible
Metadata/Monsters/InvisibleFire/MDUtlimatumOmnitectWave	Invisible
Metadata/Monsters/InvisibleFire/MDIcyOwlBossSnowball	Invisible
Metadata/Monsters/InvisibleFire/MDSharkBossFishnado	Invisible
Metadata/Monsters/InvisibleFire/MDSharkBossFin	Invisible
Metadata/Monsters/InvisibleFire/MDSandStormTornado	Invisible
Metadata/Monsters/InvisibleFire/MDRitualWendigoBossVacuumBlob	Invisible
Metadata/Monsters/InvisibleFire/MDRitualWendigoBossFistSlamMothball	Invisible
Metadata/Monsters/InvisibleFire/MDGoblinGiantStompSpike	Invisible
Metadata/Monsters/MarakethSanctumTrial/Boss/ApparitionBoss/OrbitDaemon	Invisible
Metadata/Monsters/VolatileCore/VolatileDeadCore	Volatile Core
Metadata/Monsters/VolatileCore/VolatileDeadCoreStygian	Volatile Core
Metadata/Monsters/Daemon/ElderBlenderDaemon	Daemon
Metadata/Monsters/CrabMonsters/CrabCoconut	Coconut Crab
Metadata/Monsters/Daemon/LightningCloneRetaliationDaemon	Daemon
Metadata/Monsters/Daemon/Player/LightningCloneRetaliationDaemon	Daemon
Metadata/Monsters/Daemon/LightningCloneRetaliationDaemon2	Daemon
